customer_city,customer_state,orders_late,late_orders_respect_total_%,days_diference_mean,diagnosis,delay_days
sao paulo,SP,942,6.06,6 days 09:28:35.647558386,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.394857031925763
rio de janeiro,RJ,780,11.33,12 days 18:35:43.294871794,Retrasos severos: rutas largas o problemas logísticos regionales,12.774806653608728
salvador,BA,208,7.5,9 days 18:13:16.269230769,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.759216079059826
belo horizonte,MG,166,7.79,6 days 19:16:06.216867469,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.802849732262373
porto alegre,RS,158,10.39,9 days 19:06:22.715189873,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.79609624062353
brasilia,DF,147,10.18,6 days 15:19:53.836734693,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.6388175547996875
campinas,SP,143,10.37,6 days 19:15:24.930069930,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.802371875809375
fortaleza,CE,111,8.92,14 days 13:02:09.702702702,Retrasos severos: rutas largas o problemas logísticos regionales,14.543167855355348
niteroi,RJ,103,8.66,13 days 03:37:01.466019417,Retrasos severos: rutas largas o problemas logísticos regionales,13.15071141226177
sao goncalo,RJ,96,10.23,12 days 03:29:19.427083333,Retrasos severos: rutas largas o problemas logísticos regionales,12.145363739390428
recife,PE,79,9.31,11 days 17:48:31.126582278,Retrasos severos: rutas largas o problemas logísticos regionales,11.742026928035626
goiania,GO,76,9.55,8 days 01:15:12.513157894,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,8.0522281615497
sao luis,MA,75,10.05,8 days 02:02:34.880000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,8.085125925925926
curitiba,PR,74,10.38,7 days 13:49:17.891891891,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.575901526526517
guarulhos,SP,72,10.4,5 days 13:45:49.486111111,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,5.573489422582304
florianopolis,SC,71,10.27,7 days 03:45:13.450704225,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.156405679447048
maceio,AL,70,10.7,9 days 23:21:39.728571428,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.973376488095232
santos,SP,65,10.27,6 days 01:09:03.969230769,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.047962606837604
teresina,PI,60,9.79,13 days 10:24:38.683333333,Retrasos severos: rutas largas o problemas logísticos regionales,13.433781057098763
nova iguacu,RJ,57,10.0,10 days 15:34:43.736842105,Retrasos severos: rutas largas o problemas logísticos regionales,10.6491173245614
sao bernardo do campo,SP,57,10.09,9 days 01:47:39.491228070,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.074762629954513
vila velha,ES,50,9.8,9 days 18:18:56.160000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.76315
serra,ES,43,9.71,8 days 12:18:44.279069767,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,8.513012489233414
vitoria,ES,43,9.73,5 days 20:26:37.837209302,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,5.851826819552106
belem,PA,42,9.7,13 days 08:40:54.714285714,Retrasos severos: rutas largas o problemas logísticos regionales,13.361744378306875
macae,RJ,42,9.84,15 days 11:18:48.142857142,Retrasos severos: rutas largas o problemas logísticos regionales,15.471390542328033
volta redonda,RJ,41,9.62,10 days 11:25:17.170731707,Retrasos severos: rutas largas o problemas logísticos regionales,10.475893179765128
sao jose dos campos,SP,40,9.78,4 days 22:13:30.300000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,4.926045138888889
campo grande,MS,38,9.92,7 days 05:05:35.184210526,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.21221278021442
osasco,SP,35,9.23,5 days 19:06:30.342857142,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,5.796184523809513
campos dos goytacazes,RJ,34,9.09,10 days 20:52:37.588235294,Retrasos severos: rutas largas o problemas logísticos regionales,10.869879493464051
jundiai,SP,33,8.94,7 days 19:29:07.878787878,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.811896745230069
duque de caxias,RJ,32,9.07,9 days 14:54:06.562500,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.620909288194444
santo andre,SP,31,9.25,7 days 04:46:37.903225806,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.199049805854235
petropolis,RJ,30,8.98,11 days 23:22:41.133333333,Retrasos severos: rutas largas o problemas logísticos regionales,11.97408719135802
nova friburgo,RJ,30,9.15,20 days 01:00:40.100000,Retrasos severos: rutas largas o problemas logísticos regionales,20.04213078703704
hortolandia,SP,30,9.29,6 days 10:05:31.933333333,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.420508487654317
aracaju,SE,29,9.06,15 days 05:09:10.310344827,Retrasos severos: rutas largas o problemas logísticos regionales,15.214702666028089
maua,SP,29,9.32,8 days 03:46:24.586206896,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,8.15722900702426
joao pessoa,PB,29,9.48,9 days 19:13:09.862068965,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.80080858876117
praia grande,SP,28,9.46,12 days 13:02:48.750000,Retrasos severos: rutas largas o problemas logísticos regionales,12.543619791666666
sao joao de meriti,RJ,27,9.44,16 days 02:34:06.333333333,Retrasos severos: rutas largas o problemas logísticos regionales,16.107017746913577
contagem,MG,27,9.47,6 days 21:35:15.666666666,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.899486882716042
cabo frio,RJ,27,9.61,10 days 11:12:57.407407407,Retrasos severos: rutas largas o problemas logísticos regionales,10.467331104252395
rio das ostras,RJ,27,9.64,19 days 14:14:36.666666666,Retrasos severos: rutas largas o problemas logísticos regionales,19.5934799382716
sao jose,SC,26,9.39,9 days 15:36:11.269230769,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.650130430911679
sorocaba,SP,25,9.16,3 days 03:32:48.960000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,3.147788888888889
juiz de fora,MG,25,9.23,7 days 18:05:26.600000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.753780092592592
joinville,SC,24,8.89,9 days 11:35:45.916666666,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.483170331790117
diadema,SP,23,8.65,8 days 09:17:00.347826087,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,8.386809581320453
barra mansa,RJ,22,8.33,7 days 23:34:24.045454545,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.9822227483164925
resende,RJ,22,8.59,11 days 09:35:11.590909090,Retrasos severos: rutas largas o problemas logísticos regionales,11.39943970959595
natal,RN,22,8.8,12 days 23:16:42.636363636,Retrasos severos: rutas largas o problemas logísticos regionales,12.969937920875417
sumare,SP,22,8.87,7 days 05:09:13.818181818,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.214743265993264
canoas,RS,21,8.5,7 days 11:51:55.142857142,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.494388227513218
marica,RJ,21,8.75,11 days 07:47:38.238095238,Retrasos severos: rutas largas o problemas logísticos regionales,11.32474812610229
barueri,SP,21,8.79,8 days 19:23:55.761904761,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,8.808284281305104
carapicuiba,SP,20,8.4,5 days 18:02:05.700000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,5.751454861111111
ribeirao preto,SP,19,8.05,6 days 03:15:46.421052631,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.135953947368415
itaquaquecetuba,SP,19,8.12,9 days 00:55:36.315789473,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.038614766081864
sao vicente,SP,19,8.19,26 days 23:41:52,Retrasos severos: rutas largas o problemas logísticos regionales,26.987407407407407
sao vicente,SP,19,8.19,9 days 12:39:39.421052631,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.527539595516563
cuiaba,MT,18,7.96,11 days 08:37:10.111111111,Retrasos severos: rutas largas o problemas logísticos regionales,11.359144804526748
americana,SP,18,8.0,3 days 03:57:57.222222222,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,3.165245627572014
caxias do sul,RS,18,8.04,6 days 10:09:47.611111111,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.423467721193415
teresopolis,RJ,17,7.59,13 days 22:11:34.235294117,Retrasos severos: rutas largas o problemas logísticos regionales,13.924701797385612
balneario camboriu,SC,16,7.58,7 days 13:26:53.875000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.560345775462963
itajai,SC,15,7.14,7 days 05:50:22.533333333,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.243316358024687
santa maria,RS,15,7.25,56 days 05:12:09,Retrasos severos: rutas largas o problemas logísticos regionales,56.216770833333335
santa maria,RS,15,7.25,17 days 11:07:26.266666666,Retrasos severos: rutas largas o problemas logísticos regionales,17.463498456790116
rio grande,RS,15,7.39,9 days 10:20:08.866666666,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.430658179012338
chapeco,SC,15,7.65,8 days 04:59:58.400000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,8.208314814814814
santarem,PA,15,7.73,10 days 22:54:02,Retrasos severos: rutas largas o problemas logísticos regionales,10.954189814814814
maringa,PR,15,7.73,6 days 00:18:01.866666666,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.0125216049382635
uberlandia,MG,15,7.85,7 days 13:08:24.866666666,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.547510030864189
cariacica,ES,14,7.37,9 days 02:59:30,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.124652777777778
mogi das cruzes,SP,14,7.45,8 days 01:33:16.214285714,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,8.064770998677245
palmas,TO,14,7.53,4 days 20:41:21.500000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,4.862054398148148
palmas,TO,14,7.53,0 days 18:48:18,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,0.7835416666666667
angra dos reis,RJ,14,7.57,9 days 02:29:51.500000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.104068287037038
nilopolis,RJ,14,7.57,9 days 16:02:27.642857142,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.668375496031736
olinda,PE,14,7.65,12 days 00:31:48.428571428,Retrasos severos: rutas largas o problemas logísticos regionales,12.022088293650787
armacao dos buzios,RJ,13,7.1,9 days 20:49:32.307692307,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.867735042735035
feira de santana,BA,13,7.56,5 days 15:48:03.769230769,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,5.658376958689456
sao jose do rio preto,SP,13,7.6,8 days 17:06:17.076923076,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,8.712697649572638
sao caetano do sul,SP,13,7.65,9 days 18:00:26.307692307,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.750304487179479
cachoeiro de itapemirim,ES,13,7.69,9 days 13:31:35.692307692,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.563607549857547
camacari,BA,13,7.88,11 days 13:18:08.538461538,Retrasos severos: rutas largas o problemas logísticos regionales,11.554265491452986
blumenau,SC,13,7.98,5 days 15:40:47.769230769,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,5.65333066239316
taboao da serra,SP,13,8.07,3 days 23:19:53,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,3.972141203703704
ilheus,BA,12,7.45,11 days 05:01:11.750000,Retrasos severos: rutas largas o problemas logísticos regionales,11.209163773148148
suzano,SP,12,7.55,6 days 20:51:23.833333333,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.869025848765428
palhoca,SC,12,7.74,10 days 06:00:11.083333333,Retrasos severos: rutas largas o problemas logísticos regionales,10.250128279320984
pelotas,RS,12,7.79,10 days 13:10:12.416666666,Retrasos severos: rutas largas o problemas logísticos regionales,10.548754822530857
guaruja,SP,12,7.89,4 days 06:22:24.666666666,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,4.265563271604931
embu das artes,SP,12,8.11,11 days 19:00:04.583333333,Retrasos severos: rutas largas o problemas logísticos regionales,11.791719714506169
ananindeua,PA,12,8.22,9 days 17:03:12.333333333,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.710559413580244
pouso alegre,MG,12,8.28,6 days 13:01:08.583333333,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.54246045524691
jacarei,SP,12,8.39,16 days 18:02:39.333333333,Retrasos severos: rutas largas o problemas logísticos regionales,16.751844135802465
itaperuna,RJ,12,8.51,11 days 07:29:52.916666666,Retrasos severos: rutas largas o problemas logísticos regionales,11.312418016975302
paulinia,SP,11,7.8,19 days 11:50:17.090909091,Retrasos severos: rutas largas o problemas logísticos regionales,19.49325336700337
sao leopoldo,RS,11,7.86,4 days 23:41:00.818181818,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,4.986815025252523
lavras,MG,11,7.91,15 days 19:20:11.545454545,Retrasos severos: rutas largas o problemas logísticos regionales,15.805689183501677
londrina,PR,11,7.91,7 days 12:52:04.818181818,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.536166877104375
presidente prudente,SP,11,8.03,7 days 04:18:28,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.179490740740741
itapevi,SP,11,8.03,9 days 15:40:24.636363636,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.653062920875417
criciuma,SC,11,8.09,7 days 21:13:51.727272727,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.884626473063969
betim,MG,11,8.15,7 days 23:15:41.454545454,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.969229797979792
araraquara,SP,11,8.21,11 days 10:01:40.181818181,Retrasos severos: rutas largas o problemas logísticos regionales,11.417826178451168
cascavel,PR,11,8.27,5 days 20:16:47.272727272,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,5.844991582491574
pocos de caldas,MG,10,7.63,6 days 03:55:25,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.163483796296297
porto seguro,BA,10,7.69,10 days 09:07:46.300000,Retrasos severos: rutas largas o problemas logísticos regionales,10.380396990740742
maracanau,CE,10,7.81,7 days 11:08:50.700000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.4644756944444435
itapecerica da serra,SP,10,8.0,4 days 13:33:14.300000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,4.564748842592593
atibaia,SP,10,8.13,6 days 07:36:48.200000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.317224537037037
valinhos,SP,10,8.13,3 days 01:42:11,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,3.070960648148148
itaborai,RJ,10,8.2,14 days 09:53:33.700000,Retrasos severos: rutas largas o problemas logísticos regionales,14.41219560185185
santana de parnaiba,SP,10,8.2,4 days 12:30:26.900000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,4.521144675925926
belford roxo,RJ,9,7.5,15 days 21:42:10.222222222,Retrasos severos: rutas largas o problemas logísticos regionales,15.904284979423865
bauru,SP,9,7.5,4 days 08:11:38.777777777,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,4.341421039094641
anapolis,GO,9,7.56,7 days 01:11:34.111111111,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.049700360082303
aparecida de goiania,GO,9,7.69,7 days 10:28:51.666666666,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.436709104938265
araxa,MG,9,7.69,4 days 12:58:38.888888888,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,4.540727880658426
juazeiro,BA,9,7.96,16 days 13:36:27.111111111,Retrasos severos: rutas largas o problemas logísticos regionales,16.566980452674898
nova lima,MG,9,7.96,4 days 15:26:11.222222222,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,4.643185442386829
piracicaba,SP,9,7.96,4 days 20:51:18.888888888,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,4.8689686213991665
limeira,SP,9,8.04,4 days 19:51:53.888888888,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,4.8277070473250925
lauro de freitas,BA,9,8.11,5 days 23:34:01.777777777,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,5.981965020576123
itabuna,BA,9,8.11,10 days 15:54:26,Retrasos severos: rutas largas o problemas logísticos regionales,10.662800925925925
concordia,SC,9,8.11,6 days 01:42:59.222222222,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.071518775720162
uberaba,MG,9,8.18,1 days 19:02:43,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,1.7935532407407409
uba,MG,9,8.26,7 days 00:24:53.444444444,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.01728523662551
novo hamburgo,RS,9,8.26,11 days 04:54:42.555555555,Retrasos severos: rutas largas o problemas logísticos regionales,11.204659207818924
itu,SP,9,8.41,5 days 04:21:53.444444444,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,5.1818685699588425
cubatao,SP,8,7.62,5 days 05:49:19,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,5.242581018518519
ponta grossa,PR,8,7.77,7 days 01:11:59,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.049988425925926
viamao,RS,8,7.84,10 days 04:54:31.625000,Retrasos severos: rutas largas o problemas logísticos regionales,10.204532696759259
conselheiro lafaiete,MG,8,7.92,9 days 17:23:26,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.724606481481482
imperatriz,MA,8,7.92,8 days 16:20:30.625000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,8.680910011574074
araruama,RJ,8,7.92,9 days 19:31:46.375000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.81373119212963
franca,SP,8,7.92,3 days 18:17:37.500000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,3.7622395833333333
ferraz de vasconcelos,SP,8,8.0,3 days 16:45:27.500000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,3.698234953703704
taubate,SP,8,8.0,11 days 14:32:24,Retrasos severos: rutas largas o problemas logísticos regionales,11.605833333333333
dourados,MS,8,8.0,6 days 15:16:48.750000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.636675347222222
sao carlos,SP,8,8.16,7 days 04:06:23.250000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.171102430555556
sao carlos,SP,8,8.16,4 days 16:24:55,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,4.683969907407407
alagoinhas,BA,8,8.16,8 days 14:04:49.250000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,8.586681134259258
lages,SC,8,8.16,9 days 20:41:13.375000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.861960358796296
luis eduardo magalhaes,BA,8,8.25,7 days 03:31:58.250000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.147201967592593
jaboatao dos guararapes,PE,8,8.42,6 days 18:29:48.375000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.770698784722223
indaiatuba,SP,8,8.42,4 days 10:35:58.875000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,4.441653645833333
ipatinga,MG,8,8.42,12 days 10:54:27.375000,Retrasos severos: rutas largas o problemas logísticos regionales,12.454483506944445
guarapari,ES,8,8.51,5 days 01:36:32.875000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,5.067047164351852
araguaina,TO,8,8.51,9 days 02:37:02.375000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.109055266203704
guanambi,BA,8,8.6,8 days 10:25:07.125000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,8.434110243055555
bage,RS,8,8.6,5 days 13:47:01.875000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,5.574327256944445
saquarema,RJ,7,7.53,14 days 18:26:57.857142857,Retrasos severos: rutas largas o problemas logísticos regionales,14.768725198412698
montes claros,MG,7,7.53,5 days 09:16:20.428571428,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,5.386347552910046
campina grande,PB,7,7.61,7 days 19:52:26.142857142,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.828080357142848
caraguatatuba,SP,7,7.69,10 days 06:12:31.142857142,Retrasos severos: rutas largas o problemas logísticos regionales,10.258693783068773
cotia,SP,7,7.87,2 days 04:04:02.714285714,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,2.1694758597883563
mairipora,SP,7,7.87,2 days 10:36:46.857142857,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,2.4422089947089933
mesquita,RJ,7,7.87,13 days 10:18:26.428571428,Retrasos severos: rutas largas o problemas logísticos regionales,13.429472552910045
guaratingueta,SP,7,7.87,9 days 06:21:30.571428571,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.264937169312164
araras,SP,7,7.95,2 days 11:28:06.285714285,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,2.477850529100521
toledo,PR,7,8.05,4 days 02:15:30.571428571,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,4.0941038359788315
sao pedro da aldeia,RJ,7,8.24,16 days 01:48:12.857142857,Retrasos severos: rutas largas o problemas logísticos regionales,16.075148809523807
santa rita do sapucai,MG,7,8.24,8 days 19:00:40.142857142,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,8.792131283068773
jaragua do sul,SC,7,8.24,8 days 18:33:23.571428571,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,8.773189484126979
foz do iguacu,PR,6,7.06,2 days 10:28:39.833333333,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,2.4365721450617244
esteio,RS,6,7.14,10 days 10:53:23.333333333,Retrasos severos: rutas largas o problemas logísticos regionales,10.453742283950614
iguaba grande,RJ,6,7.14,5 days 21:14:53.500000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,5.885341435185185
tres lagoas,MS,6,7.14,12 days 05:00:15.500000,Retrasos severos: rutas largas o problemas logísticos regionales,12.208512731481482
sinop,MT,6,7.23,9 days 14:01:19.333333333,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.584251543209874
sobral,CE,6,7.23,16 days 01:18:37.333333333,Retrasos severos: rutas largas o problemas logísticos regionales,16.054598765432097
patos de minas,MG,6,7.32,6 days 08:01:48.833333333,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.334592978395058
sao joao del rei,MG,6,7.5,8 days 19:40:24,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,8.819722222222222
sao joaquim da barra,SP,6,7.5,14 days 21:45:22.500000,Retrasos severos: rutas largas o problemas logísticos regionales,14.906510416666666
caruaru,PE,6,7.5,17 days 17:12:52,Retrasos severos: rutas largas o problemas logísticos regionales,17.71726851851852
itapetininga,SP,6,7.5,7 days 01:51:55.833333333,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,7.077729552469132
arraial do cabo,RJ,6,7.59,13 days 04:22:26,Retrasos severos: rutas largas o problemas logísticos regionales,13.18224537037037
marilia,SP,6,7.59,5 days 11:00:48.166666666,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,5.458890817901227
paulista,PE,6,7.59,9 days 03:21:02,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,9.139606481481481
pirassununga,SP,6,7.59,3 days 23:02:08.833333333,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,3.9598244598765397
mogi-guacu,SP,6,7.69,6 days 20:09:22.666666666,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.839845679012338
vitoria da conquista,BA,6,7.69,8 days 19:19:35.333333333,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,8.805270061728391
corumba,MS,6,7.79,4 days 12:40:19.166666666,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,4.527999614197523
colatina,ES,6,7.89,6 days 17:16:40,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista,6.719907407407407
ubatuba,SP,6,7.89,11 days 02:34:16,Retrasos severos: rutas largas o problemas logísticos regionales,11.107129629629629
linhares,ES,5,6.67,10 days 04:14:36,Retrasos severos: rutas largas o problemas logísticos regionales,10.176805555555555
boa vista,RR,5,6.67,37 days 02:08:56.400000,Retrasos severos: rutas largas o problemas logísticos regionales,37.08954166666667
campo limpo paulista,SP,5,6.67,4 days 20:09:58.600000,Retraso moderado: problemas recurrentes pero no críticos,4.8402615740740735
manaus,AM,5,6.67,24 days 16:24:10.400000,Retrasos severos: rutas largas o problemas logísticos regionales,24.6834537037037
caldas novas,GO,5,6.67,5 days 11:32:39,Retraso moderado: problemas recurrentes pero no críticos,5.481006944444444
cajamar,SP,5,6.67,3 days 08:36:42.200000,Retraso moderado: problemas recurrentes pero no críticos,3.3588217592592593
votorantim,SP,5,6.76,2 days 06:30:16.200000,Retraso leve: problemas típicos de última hora o reparto urbano,2.2710208333333335
unai,MG,5,6.76,7 days 11:30:47.800000,Retraso moderado: problemas recurrentes pero no críticos,7.479719907407408
pindamonhangaba,SP,5,6.85,6 days 14:12:34.800000,Retraso moderado: problemas recurrentes pero no críticos,6.592069444444445
lins,SP,5,6.85,10 days 17:27:16.600000,Retrasos severos: rutas largas o problemas logísticos regionales,10.727275462962963
rio claro,SP,5,6.94,8 days 17:28:30,Retraso moderado: problemas recurrentes pero no críticos,8.728125
rio claro,SP,5,6.94,3 days 23:13:39.400000,Retraso moderado: problemas recurrentes pero no críticos,3.96781712962963
ribeirao pires,SP,5,6.94,8 days 00:02:14.200000,Retraso moderado: problemas recurrentes pero no críticos,8.00155324074074
guaxupe,MG,5,7.04,2 days 13:32:54.200000,Retraso leve: problemas típicos de última hora o reparto urbano,2.564516203703704
sapucaia do sul,RS,5,7.14,13 days 23:04:59.600000,Retrasos severos: rutas largas o problemas logísticos regionales,13.961800925925926
caucaia,CE,5,7.25,20 days 13:33:31.400000,Retrasos severos: rutas largas o problemas logísticos regionales,20.564946759259257
sao jose dos pinhais,PR,5,7.25,6 days 06:25:35,Retraso moderado: problemas recurrentes pero no críticos,6.267766203703704
