customer_city,customer_state,orders_late,late_orders_respect_total_%,days_diference_mean,diagnosis,delay_days
guararapes,SP,1,11.11,0 days 17:52:02,Retraso leve: problemas típicos de última hora o reparto urbano,0.7444675925925925
belo jardim,PE,1,11.11,0 days 20:54:43,Retraso leve: problemas típicos de última hora o reparto urbano,0.8713310185185185
quintana,SP,1,11.11,121 days 20:47:58,Retrasos severos: rutas largas o problemas logísticos regionales,121.86664351851852
quijingue,BA,1,11.11,0 days 13:28:52,Retraso leve: problemas típicos de última hora o reparto urbano,0.5617129629629629
queixada,MG,1,11.11,3 days 13:48:49,Retraso moderado: problemas recurrentes pero no críticos,3.5755671296296296
quatro barras,PR,1,11.11,1 days 15:51:12,Retraso leve: problemas típicos de última hora o reparto urbano,1.6605555555555556
pugmil,TO,1,11.11,4 days 16:24:45,Retraso moderado: problemas recurrentes pero no críticos,4.683854166666666
primavera,SP,1,11.11,25 days 11:32:51,Retrasos severos: rutas largas o problemas logísticos regionales,25.481145833333333
presidente tancredo neves,BA,1,11.11,2 days 20:03:22,Retraso leve: problemas típicos de última hora o reparto urbano,2.8356712962962964
presidente epitacio,SP,1,11.11,2 days 23:45:48,Retraso leve: problemas típicos de última hora o reparto urbano,2.9901388888888887
presidente dutra,BA,1,11.11,96 days 14:42:22,Retrasos severos: rutas largas o problemas logísticos regionales,96.61275462962963
presidente dutra,BA,1,11.11,15 days 07:41:00.666666666,Retrasos severos: rutas largas o problemas logísticos regionales,15.320146604938264
porto franco,MA,1,11.11,15 days 22:51:27,Retrasos severos: rutas largas o problemas logísticos regionales,15.952395833333334
boa viagem,CE,1,11.11,4 days 14:11:31,Retraso moderado: problemas recurrentes pero no críticos,4.5913310185185185
boa esperanca do sul,SP,1,11.11,6 days 22:28:25,Retraso moderado: problemas recurrentes pero no críticos,6.936400462962963
boa esperanca,RJ,1,11.11,5 days 16:05:31,Retraso moderado: problemas recurrentes pero no críticos,5.670497685185185
bertopolis,MG,1,11.11,10 days 18:42:17,Retrasos severos: rutas largas o problemas logísticos regionales,10.779363425925926
bernardino de campos,SP,1,11.11,0 days 12:44:41,Retraso leve: problemas típicos de última hora o reparto urbano,0.5310300925925926
bento goncalves,RS,1,11.11,6 days 13:04:18,Retraso moderado: problemas recurrentes pero no críticos,6.544652777777777
colider,MT,1,11.11,10 days 19:54:31,Retrasos severos: rutas largas o problemas logísticos regionales,10.829525462962962
cocal,PI,1,11.11,0 days 11:56:46,Retraso leve: problemas típicos de última hora o reparto urbano,0.49775462962962963
coaraci,BA,1,11.11,10 days 10:39:35,Retrasos severos: rutas largas o problemas logísticos regionales,10.444155092592593
claudio,MG,1,11.11,16 days 19:18:52,Retrasos severos: rutas largas o problemas logísticos regionales,16.804768518518518
cidade ocidental,GO,1,11.11,11 days 12:42:52,Retrasos severos: rutas largas o problemas logísticos regionales,11.529768518518518
cidade gaucha,PR,1,11.11,0 days 23:04:58,Retraso leve: problemas típicos de última hora o reparto urbano,0.9617824074074074
cianorte,PR,1,11.11,2 days 20:16:41,Retraso leve: problemas típicos de última hora o reparto urbano,2.8449189814814817
cristalina,GO,1,11.11,6 days 21:09:12,Retraso moderado: problemas recurrentes pero no críticos,6.881388888888889
cravinhos,SP,1,11.11,4 days 16:19:25,Retraso moderado: problemas recurrentes pero no críticos,4.680150462962963
redencao,CE,1,11.11,14 days 15:52:25,Retrasos severos: rutas largas o problemas logísticos regionales,14.661400462962963
redencao,CE,1,11.11,7 days 09:09:24.333333333,Retraso moderado: problemas recurrentes pero no críticos,7.381531635802466
raul soares,MG,1,11.11,32 days 17:11:19,Retrasos severos: rutas largas o problemas logísticos regionales,32.71619212962963
rainha do mar,RS,1,11.11,7 days 20:24:31,Retraso moderado: problemas recurrentes pero no críticos,7.850358796296296
rafard,SP,1,11.11,0 days 10:49:33,Retraso leve: problemas típicos de última hora o reparto urbano,0.4510763888888889
quixere,CE,1,11.11,7 days 20:07:37,Retraso moderado: problemas recurrentes pero no críticos,7.838622685185185
quixeramobim,CE,1,11.11,10 days 20:37:59,Retrasos severos: rutas largas o problemas logísticos regionales,10.859710648148148
